1487268111,2017-02-16 23:31:51,1120755 , 47071, 1086
1487268126,2017-02-16 23:32:06,1120755 , 47086, 1086
1487268142,2017-02-16 23:32:22,1120755 , 47114, 1086
1487268158,2017-02-16 23:32:38,1120755 , 47138, 1086
1487268174,2017-02-16 23:32:54,1120755 , 47152, 1086
1487268189,2017-02-16 23:33:09,1120755 , 47168, 1086
1487268205,2017-02-16 23:33:25,1120755 , 47186, 1086
1487268221,2017-02-16 23:33:41,1120755 , 47204, 1088
1487268237,2017-02-16 23:33:57,1120755 , 47231, 1088
1487268252,2017-02-16 23:34:12,1120755 , 47254, 1089
1487268268,2017-02-16 23:34:28,1120755 , 47275, 1088
1487268283,2017-02-16 23:34:43,1120755 , 47296, 1088
1487268300,2017-02-16 23:35:00,1120755 , 47318, 1088
1487268316,2017-02-16 23:35:16,1120755 , 47338, 1089
1487268332,2017-02-16 23:35:32,1120755 , 47354, 1089
1487268347,2017-02-16 23:35:47,1120755 , 47375, 1089
1487268363,2017-02-16 23:36:03,1120755 , 47393, 1089
